REF_DATE,Sex,Age group,VALUE
1971,Males,0 years,65775
1972,Males,0 years,64372
1973,Males,0 years,63152
1974,Males,0 years,61782
1975,Males,0 years,63902
1976,Males,0 years,61624
1977,Males,0 years,61837
1978,Males,0 years,61491
1979,Males,0 years,61619
1980,Males,0 years,61851
1981,Males,0 years,62454
1982,Males,0 years,62322
1983,Males,0 years,64907
1984,Males,0 years,64952
1985,Males,0 years,67219
1986,Males,0 years,67072
1987,Males,0 years,69003
1988,Males,0 years,69527
1989,Males,0 years,72468
1990,Males,0 years,77099
1991,Males,0 years,78720
1992,Males,0 years,77964
1993,Males,0 years,76414
1994,Males,0 years,75375
1995,Males,0 years,75980
1996,Males,0 years,75285
1997,Males,0 years,69788
1998,Males,0 years,68347
1999,Males,0 years,67228
2000,Males,0 years,68230
2001,Males,0 years,66107
2002,Males,0 years,66216
2003,Males,0 years,66423
2004,Males,0 years,68825
2005,Males,0 years,68842
2006,Males,0 years,68454
2007,Males,0 years,69995
2008,Males,0 years,71915
2009,Males,0 years,71875
2010,Males,0 years,71744
2011,Males,0 years,71460
2012,Males,0 years,72083
2013,Males,0 years,71888
2014,Males,0 years,71506
2015,Males,0 years,71540
2016,Males,0 years,71885
2017,Males,0 years,72093
2018,Males,0 years,72556
2019,Males,0 years,71764
2020,Males,0 years,71662
2021,Males,0 years,69811
1971,Males,1 year,65824
1972,Males,1 year,66343
1973,Males,1 year,64523
1974,Males,1 year,63245
1975,Males,1 year,61493
1976,Males,1 year,62628
1977,Males,1 year,61857
1978,Males,1 year,61804
1979,Males,1 year,61141
1980,Males,1 year,61288
1981,Males,1 year,61982
1982,Males,1 year,62935
1983,Males,1 year,62756
1984,Males,1 year,65330
1985,Males,1 year,65199
1986,Males,1 year,67102
1987,Males,1 year,68132
1988,Males,1 year,69717
1989,Males,1 year,70443
1990,Males,1 year,73389
1991,Males,1 year,78040
1992,Males,1 year,79129
1993,Males,1 year,78358
1994,Males,1 year,76952
1995,Males,1 year,76082
1996,Males,1 year,77076
1997,Males,1 year,75977
1998,Males,1 year,70782
1999,Males,1 year,69695
2000,Males,1 year,69094
2001,Males,1 year,70702
2002,Males,1 year,67453
2003,Males,1 year,67428
2004,Males,1 year,67934
2005,Males,1 year,70711
2006,Males,1 year,70822
2007,Males,1 year,69367
2008,Males,1 year,71071
2009,Males,1 year,72960
2010,Males,1 year,72879
2011,Males,1 year,72659
2012,Males,1 year,72251
2013,Males,1 year,72871
2014,Males,1 year,72546
2015,Males,1 year,71975
2016,Males,1 year,72598
2017,Males,1 year,72668
2018,Males,1 year,73052
2019,Males,1 year,73594
2020,Males,1 year,72828
2021,Males,1 year,71900
1971,Males,2 years,64204
1972,Males,2 years,66445
1973,Males,2 years,66990
1974,Males,2 years,64964
1975,Males,2 years,63397
1976,Males,2 years,61637
1977,Males,2 years,63088
1978,Males,2 years,62115
1979,Males,2 years,61592
1980,Males,2 years,60922
1981,Males,2 years,60853
1982,Males,2 years,62457
1983,Males,2 years,63522
1984,Males,2 years,63236
1985,Males,2 years,65908
1986,Males,2 years,65790
1987,Males,2 years,68345
1988,Males,2 years,69624
1989,Males,2 years,70788
1990,Males,2 years,71403
1991,Males,2 years,74622
1992,Males,2 years,78674
1993,Males,2 years,79346
1994,Males,2 years,78520
1995,Males,2 years,77390
1996,Males,2 years,76843
1997,Males,2 years,77848
1998,Males,2 years,76724
1999,Males,2 years,71893
2000,Males,2 years,71374
2001,Males,2 years,71408
2002,Males,2 years,71774
2003,Males,2 years,68601
2004,Males,2 years,68739
2005,Males,2 years,69484
2006,Males,2 years,72097
2007,Males,2 years,71362
2008,Males,2 years,70325
2009,Males,2 years,72125
2010,Males,2 years,74181
2011,Males,2 years,73865
2012,Males,2 years,73492
2013,Males,2 years,72968
2014,Males,2 years,73535
2015,Males,2 years,73161
2016,Males,2 years,73137
2017,Males,2 years,73397
2018,Males,2 years,73773
2019,Males,2 years,74133
2020,Males,2 years,74665
2021,Males,2 years,73141
1971,Males,3 years,64554
1972,Males,3 years,64633
1973,Males,3 years,67053
1974,Males,3 years,67886
1975,Males,3 years,65428
1976,Males,3 years,63540
1977,Males,3 years,61881
1978,Males,3 years,63529
1979,Males,3 years,62137
1980,Males,3 years,61515
1981,Males,3 years,60669
1982,Males,3 years,61251
1983,Males,3 years,62949
1984,Males,3 years,64145
1985,Males,3 years,63776
1986,Males,3 years,66420
1987,Males,3 years,67185
1988,Males,3 years,70219
1989,Males,3 years,71884
1990,Males,3 years,72316
1991,Males,3 years,72249
1992,Males,3 years,75206
1993,Males,3 years,78880
1994,Males,3 years,79491
1995,Males,3 years,78852
1996,Males,3 years,78122
1997,Males,3 years,77298
1998,Males,3 years,78643
1999,Males,3 years,77468
2000,Males,3 years,73334
2001,Males,3 years,73337
2002,Males,3 years,72256
2003,Males,3 years,72485
2004,Males,3 years,69614
2005,Males,3 years,69979
2006,Males,3 years,70963
2007,Males,3 years,72488
2008,Males,3 years,71908
2009,Males,3 years,71156
2010,Males,3 years,73283
2011,Males,3 years,75028
2012,Males,3 years,74576
2013,Males,3 years,74225
2014,Males,3 years,73515
2015,Males,3 years,74159
2016,Males,3 years,74304
2017,Males,3 years,73908
2018,Males,3 years,74491
2019,Males,3 years,74888
2020,Males,3 years,75251
2021,Males,3 years,74997
1971,Males,4 years,69143
1972,Males,4 years,64977
1973,Males,4 years,65034
1974,Males,4 years,67974
1975,Males,4 years,68825
1976,Males,4 years,65810
1977,Males,4 years,63895
1978,Males,4 years,62115
1979,Males,4 years,63710
1980,Males,4 years,62281
1981,Males,4 years,61323
1982,Males,4 years,60984
1983,Males,4 years,61776
1984,Males,4 years,63511
1985,Males,4 years,64803
1986,Males,4 years,64642
1987,Males,4 years,67934
1988,Males,4 years,69190
1989,Males,4 years,73159
1990,Males,4 years,74990
1991,Males,4 years,72171
1992,Males,4 years,73168
1993,Males,4 years,75835
1994,Males,4 years,79260
1995,Males,4 years,79693
1996,Males,4 years,79329
1997,Males,4 years,78597
1998,Males,4 years,77991
1999,Males,4 years,79423
2000,Males,4 years,78584
2001,Males,4 years,75540
2002,Males,4 years,74320
2003,Males,4 years,72723
2004,Males,4 years,73202
2005,Males,4 years,70734
2006,Males,4 years,71190
2007,Males,4 years,71276
2008,Males,4 years,72991
2009,Males,4 years,72397
2010,Males,4 years,72198
2011,Males,4 years,74434
2012,Males,4 years,75811
2013,Males,4 years,75285
2014,Males,4 years,74826
2015,Males,4 years,74085
2016,Males,4 years,75261
2017,Males,4 years,75111
2018,Males,4 years,74989
2019,Males,4 years,75635
2020,Males,4 years,76013
2021,Males,4 years,75662
1971,Males,5 years,73646
1972,Males,5 years,69493
1973,Males,5 years,65336
1974,Males,5 years,65763
1975,Males,5 years,68911
1976,Males,5 years,69472
1977,Males,5 years,66149
1978,Males,5 years,64221
1979,Males,5 years,62108
1980,Males,5 years,64042
1981,Males,5 years,62386
1982,Males,5 years,61648
1983,Males,5 years,61407
1984,Males,5 years,62415
1985,Males,5 years,64078
1986,Males,5 years,65446
1987,Males,5 years,65878
1988,Males,5 years,68800
1989,Males,5 years,70347
1990,Males,5 years,73137
1991,Males,5 years,73777
1992,Males,5 years,73152
1993,Males,5 years,73488
1994,Males,5 years,76437
1995,Males,5 years,79717
1996,Males,5 years,80010
1997,Males,5 years,79848
1998,Males,5 years,79387
1999,Males,5 years,78650
2000,Males,5 years,80708
2001,Males,5 years,79522
2002,Males,5 years,76485
2003,Males,5 years,74848
2004,Males,5 years,73165
2005,Males,5 years,74054
2006,Males,5 years,72048
2007,Males,5 years,71642
2008,Males,5 years,71663
2009,Males,5 years,73539
2010,Males,5 years,73063
2011,Males,5 years,73594
2012,Males,5 years,75123
2013,Males,5 years,76631
2014,Males,5 years,75932
2015,Males,5 years,75506
2016,Males,5 years,75431
2017,Males,5 years,76102
2018,Males,5 years,76223
2019,Males,5 years,76029
2020,Males,5 years,76678
2021,Males,5 years,76521
1971,Males,6 years,80143
1972,Males,6 years,73975
1973,Males,6 years,69919
1974,Males,6 years,65973
1975,Males,6 years,66507
1976,Males,6 years,69549
1977,Males,6 years,69866
1978,Males,6 years,66418
1979,Males,6 years,64313
1980,Males,6 years,62323
1981,Males,6 years,64115
1982,Males,6 years,62576
1983,Males,6 years,62040
1984,Males,6 years,61950
1985,Males,6 years,63024
1986,Males,6 years,64644
1987,Males,6 years,66711
1988,Males,6 years,67371
1989,Males,6 years,70511
1990,Males,6 years,71652
1991,Males,6 years,73498
1992,Males,6 years,74870
1993,Males,6 years,74043
1994,Males,6 years,74068
1995,Males,6 years,76932
1996,Males,6 years,80232
1997,Males,6 years,80789
1998,Males,6 years,80637
1999,Males,6 years,80109
2000,Males,6 years,79652
2001,Males,6 years,81807
2002,Males,6 years,80554
2003,Males,6 years,76986
2004,Males,6 years,75321
2005,Males,6 years,73628
2006,Males,6 years,74238
2007,Males,6 years,72496
2008,Males,6 years,72132
2009,Males,6 years,72062
2010,Males,6 years,74153
2011,Males,6 years,73647
2012,Males,6 years,74206
2013,Males,6 years,75743
2014,Males,6 years,77336
2015,Males,6 years,76551
2016,Males,6 years,76715
2017,Males,6 years,76300
2018,Males,6 years,77198
2019,Males,6 years,77252
2020,Males,6 years,77102
2021,Males,6 years,77146
1971,Males,7 years,82563
1972,Males,7 years,80219
1973,Males,7 years,74347
1974,Males,7 years,70456
1975,Males,7 years,66658
1976,Males,7 years,67197
1977,Males,7 years,69867
1978,Males,7 years,70165
1979,Males,7 years,66397
1980,Males,7 years,64532
1981,Males,7 years,62562
1982,Males,7 years,64343
1983,Males,7 years,62835
1984,Males,7 years,62527
1985,Males,7 years,62426
1986,Males,7 years,63685
1987,Males,7 years,65784
1988,Males,7 years,68030
1989,Males,7 years,68977
1990,Males,7 years,71492
1991,Males,7 years,71797
1992,Males,7 years,74553
1993,Males,7 years,75363
1994,Males,7 years,74681
1995,Males,7 years,74537
1996,Males,7 years,77755
1997,Males,7 years,80948
1998,Males,7 years,81710
1999,Males,7 years,81317
2000,Males,7 years,81008
2001,Males,7 years,81038
2002,Males,7 years,83014
2003,Males,7 years,80960
2004,Males,7 years,77303
2005,Males,7 years,75771
2006,Males,7 years,74202
2007,Males,7 years,74986
2008,Males,7 years,73103
2009,Males,7 years,72696
2010,Males,7 years,72547
2011,Males,7 years,74458
2012,Males,7 years,74317
2013,Males,7 years,74811
2014,Males,7 years,76322
2015,Males,7 years,78016
2016,Males,7 years,77687
2017,Males,7 years,77476
2018,Males,7 years,77253
2019,Males,7 years,78185
2020,Males,7 years,78236
2021,Males,7 years,77542
1971,Males,8 years,84458
1972,Males,8 years,82724
1973,Males,8 years,80308
1974,Males,8 years,74822
1975,Males,8 years,71090
1976,Males,8 years,67501
1977,Males,8 years,67506
1978,Males,8 years,70126
1979,Males,8 years,70195
1980,Males,8 years,66549
1981,Males,8 years,64685
1982,Males,8 years,62727
1983,Males,8 years,64580
1984,Males,8 years,63152
1985,Males,8 years,63011
1986,Males,8 years,63023
1987,Males,8 years,64876
1988,Males,8 years,67188
1989,Males,8 years,69371
1990,Males,8 years,69803
1991,Males,8 years,71159
1992,Males,8 years,72672
1993,Males,8 years,75221
1994,Males,8 years,76135
1995,Males,8 years,75299
1996,Males,8 years,75471
1997,Males,8 years,78342
1998,Males,8 years,81925
1999,Males,8 years,82359
2000,Males,8 years,82019
2001,Males,8 years,82091
2002,Males,8 years,82054
2003,Males,8 years,83533
2004,Males,8 years,81259
2005,Males,8 years,77688
2006,Males,8 years,76153
2007,Males,8 years,74875
2008,Males,8 years,75789
2009,Males,8 years,73659
2010,Males,8 years,73273
2011,Males,8 years,73223
2012,Males,8 years,75284
2013,Males,8 years,74935
2014,Males,8 years,75358
2015,Males,8 years,76880
2016,Males,8 years,78876
2017,Males,8 years,78546
2018,Males,8 years,78397
2019,Males,8 years,78199
2020,Males,8 years,79013
2021,Males,8 years,78621
1971,Males,9 years,82744
1972,Males,9 years,84659
1973,Males,9 years,82953
1974,Males,9 years,80550
1975,Males,9 years,75460
1976,Males,9 years,71570
1977,Males,9 years,67839
1978,Males,9 years,67762
1979,Males,9 years,70170
1980,Males,9 years,70434
1981,Males,9 years,66731
1982,Males,9 years,64977
1983,Males,9 years,62908
1984,Males,9 years,64962
1985,Males,9 years,63440
1986,Males,9 years,63576
1987,Males,9 years,64321
1988,Males,9 years,66110
1989,Males,9 years,68697
1990,Males,9 years,70300
1991,Males,9 years,69618
1992,Males,9 years,72168
1993,Males,9 years,73424
1994,Males,9 years,76050
1995,Males,9 years,76689
1996,Males,9 years,76375
1997,Males,9 years,76115
1998,Males,9 years,79242
1999,Males,9 years,82650
2000,Males,9 years,83274
2001,Males,9 years,82906
2002,Males,9 years,83323
2003,Males,9 years,82532
2004,Males,9 years,84014
2005,Males,9 years,81547
2006,Males,9 years,78284
2007,Males,9 years,76978
2008,Males,9 years,75638
2009,Males,9 years,76521
2010,Males,9 years,74286
2011,Males,9 years,73938
2012,Males,9 years,73978
2013,Males,9 years,76011
2014,Males,9 years,75485
2015,Males,9 years,75937
2016,Males,9 years,77843
2017,Males,9 years,79583
2018,Males,9 years,79398
2019,Males,9 years,79206
2020,Males,9 years,79022
2021,Males,9 years,79364
1971,Males,10 years,84016
1972,Males,10 years,83001
1973,Males,10 years,84889
1974,Males,10 years,83328
1975,Males,10 years,80908
1976,Males,10 years,76109
1977,Males,10 years,71628
1978,Males,10 years,68137
1979,Males,10 years,67784
1980,Males,10 years,70393
1981,Males,10 years,70422
1982,Males,10 years,67072
1983,Males,10 years,65285
1984,Males,10 years,63192
1985,Males,10 years,65309
1986,Males,10 years,63923
1987,Males,10 years,64304
1988,Males,10 years,64834
1989,Males,10 years,66365
1990,Males,10 years,68066
1991,Males,10 years,70189
1992,Males,10 years,70674
1993,Males,10 years,73028
1994,Males,10 years,74107
1995,Males,10 years,76790
1996,Males,10 years,77317
1997,Males,10 years,77196
1998,Males,10 years,77046
1999,Males,10 years,79864
2000,Males,10 years,83696
2001,Males,10 years,84376
2002,Males,10 years,84147
2003,Males,10 years,84057
2004,Males,10 years,82976
2005,Males,10 years,84535
2006,Males,10 years,81778
2007,Males,10 years,79223
2008,Males,10 years,77965
2009,Males,10 years,76445
2010,Males,10 years,77375
2011,Males,10 years,75113
2012,Males,10 years,74770
2013,Males,10 years,74683
2014,Males,10 years,76700
2015,Males,10 years,76145
2016,Males,10 years,76939
2017,Males,10 years,78581
2018,Males,10 years,80483
2019,Males,10 years,80219
2020,Males,10 years,79975
2021,Males,10 years,79345
1971,Males,11 years,82536
1972,Males,11 years,84676
1973,Males,11 years,83246
1974,Males,11 years,85253
1975,Males,11 years,83733
1976,Males,11 years,80869
1977,Males,11 years,76544
1978,Males,11 years,71591
1979,Males,11 years,68191
1980,Males,11 years,67961
1981,Males,11 years,70386
1982,Males,11 years,71093
1983,Males,11 years,67351
1984,Males,11 years,65616
1985,Males,11 years,63474
1986,Males,11 years,65517
1987,Males,11 years,64900
1988,Males,11 years,65258
1989,Males,11 years,65887
1990,Males,11 years,67114
1991,Males,11 years,69301
1992,Males,11 years,71192
1993,Males,11 years,71300
1994,Males,11 years,73824
1995,Males,11 years,74803
1996,Males,11 years,77567
1997,Males,11 years,78248
1998,Males,11 years,78168
1999,Males,11 years,77718
2000,Males,11 years,80630
2001,Males,11 years,84480
2002,Males,11 years,85809
2003,Males,11 years,84912
2004,Males,11 years,84765
2005,Males,11 years,83510
2006,Males,11 years,84725
2007,Males,11 years,83031
2008,Males,11 years,80288
2009,Males,11 years,79011
2010,Males,11 years,77285
2011,Males,11 years,78014
2012,Males,11 years,75924
2013,Males,11 years,75576
2014,Males,11 years,75323
2015,Males,11 years,77449
2016,Males,11 years,77241
2017,Males,11 years,77683
2018,Males,11 years,79408
2019,Males,11 years,81268
2020,Males,11 years,81038
2021,Males,11 years,80341
1971,Males,12 years,81240
1972,Males,12 years,82943
1973,Males,12 years,85365
1974,Males,12 years,83637
1975,Males,12 years,85661
1976,Males,12 years,84113
1977,Males,12 years,81623
1978,Males,12 years,76968
1979,Males,12 years,71417
1980,Males,12 years,68440
1981,Males,12 years,68376
1982,Males,12 years,70952
1983,Males,12 years,71756
1984,Males,12 years,67690
1985,Males,12 years,65963
1986,Males,12 years,64097
1987,Males,12 years,66602
1988,Males,12 years,66101
1989,Males,12 years,66195
1990,Males,12 years,66630
1991,Males,12 years,68309
1992,Males,12 years,70419
1993,Males,12 years,71964
1994,Males,12 years,71958
1995,Males,12 years,74529
1996,Males,12 years,75868
1997,Males,12 years,78656
1998,Males,12 years,79418
1999,Males,12 years,78886
2000,Males,12 years,78582
2001,Males,12 years,81775
2002,Males,12 years,86057
2003,Males,12 years,86875
2004,Males,12 years,85554
2005,Males,12 years,85381
2006,Males,12 years,84225
2007,Males,12 years,85971
2008,Males,12 years,84227
2009,Males,12 years,81227
2010,Males,12 years,80000
2011,Males,12 years,78287
2012,Males,12 years,78957
2013,Males,12 years,76720
2014,Males,12 years,76303
2015,Males,12 years,76096
2016,Males,12 years,78207
2017,Males,12 years,77959
2018,Males,12 years,78486
2019,Males,12 years,80173
2020,Males,12 years,82099
2021,Males,12 years,81338
1971,Males,13 years,80304
1972,Males,13 years,81463
1973,Males,13 years,83344
1974,Males,13 years,86151
1975,Males,13 years,84015
1976,Males,13 years,85778
1977,Males,13 years,84880
1978,Males,13 years,82318
1979,Males,13 years,77189
1980,Males,13 years,71440
1981,Males,13 years,68946
1982,Males,13 years,69012
1983,Males,13 years,71527
1984,Males,13 years,72469
1985,Males,13 years,68092
1986,Males,13 years,66462
1987,Males,13 years,65287
1988,Males,13 years,67840
1989,Males,13 years,67352
1990,Males,13 years,66978
1991,Males,13 years,67808
1992,Males,13 years,69338
1993,Males,13 years,71282
1994,Males,13 years,72867
1995,Males,13 years,72696
1996,Males,13 years,75426
1997,Males,13 years,76980
1998,Males,13 years,79954
1999,Males,13 years,80419
2000,Males,13 years,79880
2001,Males,13 years,80094
2002,Males,13 years,83540
2003,Males,13 years,87281
2004,Males,13 years,87793
2005,Males,13 years,86234
2006,Males,13 years,85971
2007,Males,13 years,85296
2008,Males,13 years,87246
2009,Males,13 years,85414
2010,Males,13 years,82258
2011,Males,13 years,80950
2012,Males,13 years,79046
2013,Males,13 years,79861
2014,Males,13 years,77564
2015,Males,13 years,77192
2016,Males,13 years,77375
2017,Males,13 years,78998
2018,Males,13 years,78764
2019,Males,13 years,79251
2020,Males,13 years,80957
2021,Males,13 years,82414
1971,Males,14 years,78755
1972,Males,14 years,80441
1973,Males,14 years,81696
1974,Males,14 years,83868
1975,Males,14 years,86977
1976,Males,14 years,84631
1977,Males,14 years,86337
1978,Males,14 years,85552
1979,Males,14 years,82820
1980,Males,14 years,77577
1981,Males,14 years,71362
1982,Males,14 years,69483
1983,Males,14 years,69614
1984,Males,14 years,72155
1985,Males,14 years,73248
1986,Males,14 years,68818
1987,Males,14 years,67689
1988,Males,14 years,66706
1989,Males,14 years,69263
1990,Males,14 years,68552
1991,Males,14 years,68241
1992,Males,14 years,68995
1993,Males,14 years,70314
1994,Males,14 years,72253
1995,Males,14 years,73773
1996,Males,14 years,73870
1997,Males,14 years,76654
1998,Males,14 years,78245
1999,Males,14 years,80987
2000,Males,14 years,81522
2001,Males,14 years,81133
2002,Males,14 years,81719
2003,Males,14 years,84903
2004,Males,14 years,88627
2005,Males,14 years,88778
2006,Males,14 years,87044
2007,Males,14 years,86902
2008,Males,14 years,86538
2009,Males,14 years,88594
2010,Males,14 years,86791
2011,Males,14 years,83472
2012,Males,14 years,81487
2013,Males,14 years,79917
2014,Males,14 years,80934
2015,Males,14 years,78635
2016,Males,14 years,78503
2017,Males,14 years,78373
2018,Males,14 years,79974
2019,Males,14 years,79801
2020,Males,14 years,80175
2021,Males,14 years,81272
1971,Males,15 years,77321
1972,Males,15 years,78952
1973,Males,15 years,80662
1974,Males,15 years,82078
1975,Males,15 years,84524
1976,Males,15 years,87636
1977,Males,15 years,84853
1978,Males,15 years,86843
1979,Males,15 years,86124
1980,Males,15 years,83573
1981,Males,15 years,77864
1982,Males,15 years,72152
1983,Males,15 years,70155
1984,Males,15 years,70375
1985,Males,15 years,72868
1986,Males,15 years,73869
1987,Males,15 years,70003
1988,Males,15 years,69148
1989,Males,15 years,68428
1990,Males,15 years,70654
1991,Males,15 years,70139
1992,Males,15 years,69510
1993,Males,15 years,69950
1994,Males,15 years,71444
1995,Males,15 years,73283
1996,Males,15 years,74708
1997,Males,15 years,75039
1998,Males,15 years,78018
1999,Males,15 years,79239
2000,Males,15 years,82259
2001,Males,15 years,82855
2002,Males,15 years,82743
2003,Males,15 years,82914
2004,Males,15 years,86371
2005,Males,15 years,90078
2006,Males,15 years,89636
2007,Males,15 years,87846
2008,Males,15 years,87847
2009,Males,15 years,87871
2010,Males,15 years,90140
2011,Males,15 years,88039
2012,Males,15 years,83817
2013,Males,15 years,82181
2014,Males,15 years,80984
2015,Males,15 years,82395
2016,Males,15 years,80483
2017,Males,15 years,79804
2018,Males,15 years,79851
2019,Males,15 years,81322
2020,Males,15 years,81075
2021,Males,15 years,80541
1971,Males,16 years,77414
1972,Males,16 years,77646
1973,Males,16 years,79287
1974,Males,16 years,81102
1975,Males,16 years,82653
1976,Males,16 years,85230
1977,Males,16 years,87689
1978,Males,16 years,85087
1979,Males,16 years,87348
1980,Males,16 years,87063
1981,Males,16 years,84137
1982,Males,16 years,78633
1983,Males,16 years,72996
1984,Males,16 years,71052
1985,Males,16 years,71240
1986,Males,16 years,73635
1987,Males,16 years,74825
1988,Males,16 years,71527
1989,Males,16 years,71107
1990,Males,16 years,70143
1991,Males,16 years,71990
1992,Males,16 years,71309
1993,Males,16 years,70536
1994,Males,16 years,71099
1995,Males,16 years,72572
1996,Males,16 years,74382
1997,Males,16 years,75950
1998,Males,16 years,76262
1999,Males,16 years,79164
2000,Males,16 years,80574
2001,Males,16 years,83677
2002,Males,16 years,84463
2003,Males,16 years,84173
2004,Males,16 years,84258
2005,Males,16 years,87921
2006,Males,16 years,90997
2007,Males,16 years,90139
2008,Males,16 years,88757
2009,Males,16 years,89055
2010,Males,16 years,89399
2011,Males,16 years,91380
2012,Males,16 years,88784
2013,Males,16 years,84505
2014,Males,16 years,83304
2015,Males,16 years,82603
2016,Males,16 years,84244
2017,Males,16 years,82411
2018,Males,16 years,81837
2019,Males,16 years,81871
2020,Males,16 years,82876
2021,Males,16 years,81507
1971,Males,17 years,74252
1972,Males,17 years,77980
1973,Males,17 years,78287
1974,Males,17 years,80068
1975,Males,17 years,81892
1976,Males,17 years,83464
1977,Males,17 years,85563
1978,Males,17 years,87812
1979,Males,17 years,85498
1980,Males,17 years,88426
1981,Males,17 years,87862
1982,Males,17 years,85411
1983,Males,17 years,79682
1984,Males,17 years,74238
1985,Males,17 years,72070
1986,Males,17 years,72482
1987,Males,17 years,74734
1988,Males,17 years,76140
1989,Males,17 years,73542
1990,Males,17 years,73111
1991,Males,17 years,71886
1992,Males,17 years,72996
1993,Males,17 years,72006
1994,Males,17 years,71834
1995,Males,17 years,72312
1996,Males,17 years,73697
1997,Males,17 years,75594
1998,Males,17 years,77231
1999,Males,17 years,77401
2000,Males,17 years,80647
2001,Males,17 years,82323
2002,Males,17 years,85410
2003,Males,17 years,85793
2004,Males,17 years,85664
2005,Males,17 years,85769
2006,Males,17 years,89481
2007,Males,17 years,91511
2008,Males,17 years,91032
2009,Males,17 years,89949
2010,Males,17 years,90663
2011,Males,17 years,91503
2012,Males,17 years,92649
2013,Males,17 years,90002
2014,Males,17 years,85855
2015,Males,17 years,85025
2016,Males,17 years,85433
2017,Males,17 years,86825
2018,Males,17 years,85286
2019,Males,17 years,84414
2020,Males,17 years,83782
2021,Males,17 years,83370
1971,Males,18 years,72556
1972,Males,18 years,74871
1973,Males,18 years,78953
1974,Males,18 years,79421
1975,Males,18 years,81182
1976,Males,18 years,82838
1977,Males,18 years,84099
1978,Males,18 years,86085
1979,Males,18 years,88312
1980,Males,18 years,86636
1981,Males,18 years,89452
1982,Males,18 years,89537
1983,Males,18 years,87017
1984,Males,18 years,81053
1985,Males,18 years,75386
1986,Males,18 years,73481
1987,Males,18 years,73739
1988,Males,18 years,76360
1989,Males,18 years,78306
1990,Males,18 years,75608
1991,Males,18 years,74629
1992,Males,18 years,72657
1993,Males,18 years,73581
1994,Males,18 years,73127
1995,Males,18 years,73214
1996,Males,18 years,73610
1997,Males,18 years,74889
1998,Males,18 years,76717
1999,Males,18 years,78469
2000,Males,18 years,78954
2001,Males,18 years,82516
2002,Males,18 years,84186
2003,Males,18 years,87153
2004,Males,18 years,87358
2005,Males,18 years,87542
2006,Males,18 years,87684
2007,Males,18 years,90100
2008,Males,18 years,92559
2009,Males,18 years,92405
2010,Males,18 years,92028
2011,Males,18 years,93048
2012,Males,18 years,93581
2013,Males,18 years,94997
2014,Males,18 years,92539
2015,Males,18 years,88487
2016,Males,18 years,88930
2017,Males,18 years,90817
2018,Males,18 years,93785
2019,Males,18 years,91308
2020,Males,18 years,89378
2021,Males,18 years,84901
1971,Males,19 years,70560
1972,Males,19 years,73510
1973,Males,19 years,75911
1974,Males,19 years,80429
1975,Males,19 years,80523
1976,Males,19 years,82126
1977,Males,19 years,83282
1978,Males,19 years,84442
1979,Males,19 years,86577
1980,Males,19 years,89135
1981,Males,19 years,87536
1982,Males,19 years,90971
1983,Males,19 years,91251
1984,Males,19 years,88410
1985,Males,19 years,82177
1986,Males,19 years,77215
1987,Males,19 years,74859
1988,Males,19 years,75270
1989,Males,19 years,78742
1990,Males,19 years,80202
1991,Males,19 years,77130
1992,Males,19 years,75273
1993,Males,19 years,73015
1994,Males,19 years,74668
1995,Males,19 years,74197
1996,Males,19 years,74302
1997,Males,19 years,74328
1998,Males,19 years,75852
1999,Males,19 years,77961
2000,Males,19 years,80440
2001,Males,19 years,81616
2002,Males,19 years,84859
2003,Males,19 years,86375
2004,Males,19 years,89168
2005,Males,19 years,89384
2006,Males,19 years,89687
2007,Males,19 years,88459
2008,Males,19 years,91140
2009,Males,19 years,94090
2010,Males,19 years,94735
2011,Males,19 years,95040
2012,Males,19 years,95654
2013,Males,19 years,95881
2014,Males,19 years,98015
2015,Males,19 years,95672
2016,Males,19 years,93562
2017,Males,19 years,97065
2018,Males,19 years,100876
2019,Males,19 years,102549
2020,Males,19 years,99809
2021,Males,19 years,91722
1971,Males,20 years,69772
1972,Males,20 years,71456
1973,Males,20 years,74261
1974,Males,20 years,77196
1975,Males,20 years,81314
1976,Males,20 years,81253
1977,Males,20 years,82152
1978,Males,20 years,83294
1979,Males,20 years,84666
1980,Males,20 years,87134
1981,Males,20 years,88628
1982,Males,20 years,88527
1983,Males,20 years,92210
1984,Males,20 years,92666
1985,Males,20 years,89647
1986,Males,20 years,83535
1987,Males,20 years,78426
1988,Males,20 years,76183
1989,Males,20 years,77573
1990,Males,20 years,80455
1991,Males,20 years,80645
1992,Males,20 years,77416
1993,Males,20 years,75163
1994,Males,20 years,73509
1995,Males,20 years,75523
1996,Males,20 years,74730
1997,Males,20 years,75037
1998,Males,20 years,74960
1999,Males,20 years,76818
2000,Males,20 years,79623
2001,Males,20 years,82205
2002,Males,20 years,83288
2003,Males,20 years,86639
2004,Males,20 years,87888
2005,Males,20 years,90746
2006,Males,20 years,90606
2007,Males,20 years,89739
2008,Males,20 years,88479
2009,Males,20 years,91647
2010,Males,20 years,95451
2011,Males,20 years,96145
2012,Males,20 years,96573
2013,Males,20 years,96628
2014,Males,20 years,96993
2015,Males,20 years,99328
2016,Males,20 years,98017
2017,Males,20 years,98150
2018,Males,20 years,102951
2019,Males,20 years,105656
2020,Males,20 years,106534
2021,Males,20 years,101620
1971,Males,21 years,68435
1972,Males,21 years,70674
1973,Males,21 years,72157
1974,Males,21 years,75544
