Age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15-19,22.4,22.3,22.5,22.6,22.5,19.9,17.1,17.2,15.7,13.9,12.9,11.9,11.7,10.6,10.4,10.5,10.8,11,10.7,10.3,9.5,9.4,8.5,7.8,7.1,6.1,5.8,4.7,4.4,3.8
20-24,68.1,65.8,64.5,63.5,62,58.1,54.2,55.3,53.1,50.7,48,45.1,43.9,43.1,41.8,41.9,42.7,42.9,41.6,39.2,37.6,36.3,34.3,34.2,32.5,31.4,29.4,26.3,24.7,22.4
25-29,119.2,118.3,113.9,113.5,110.4,104.9,99.6,98.8,98.2,93.7,96.3,92.4,93.3,93.5,92.9,92.3,91.2,92.3,90,87.2,86.7,86.6,84.3,84,82.3,81.2,78.3,74.4,71.3,65.4
30-34,92.1,93.1,94.2,94.8,96.7,94.8,92,92.7,94.4,93.2,99.2,96.8,100,103.4,104.7,106.3,108.4,108.7,108.8,108.2,109,110.2,110.4,110.1,109.8,112,110.9,109.6,107.9,102.7
35-39,33.3,33.7,34.8,35.6,37.5,38.5,38.3,38.8,39.2,39.4,41.4,41.6,43.7,44.9,47.7,49.9,52.7,53.8,54.4,55.6,56.2,57.2,56.6,57.5,59.8,59.6,61.3,62.1,61.9,59.2
40-44,4.6,4.9,5.2,5.7,6,6.1,6.3,6.4,6.8,7.2,7.5,7.5,7.8,8.1,8.2,8.5,8.8,9.5,10.2,11,11.3,11.6,11.3,11.6,12,11.9,12.6,13.1,13.6,13.2
45-49,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.7,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1
